"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board"
"BOOT-R2","1","10k","","",""
"BZ1","1","Buzzer","","",""
"CRY-C12,CRY-C13","2","30pF","","",""
"I2C-R1,I2C-R2","2","4.7k","","",""
"IC2","1","MSPM0G3507SPTR","","",""
"IMU-C6","1","0.1uF","","",""
"IMU-C7","1","2.2uF","","",""
"IMU-C15","1","10nF","","",""
"J1","1","Conn_01x08_Socket","","",""
"J2","1","Conn_01x05","","",""
"MCU-C19","1","10nF","","",""
"MCU-R7","1","47k","","",""
"PA0-R3","1","4.7k","","",""
"PA1-R4","1","4.7k","","",""
"PA2-R8","1","100k","","",""
"RC-C8","1","10nF","","",""
"RC-R5","1","47k","","",""
"REGU-C9","1","0.01uF","","",""
"REGU-C11","1","1uF","","",""
"REGU-C20","1","10 uF","","",""
"RES-C5","1","100nF","","",""
"RES-R1","1","10k","","",""
"ROSC-R6","1","100k","","",""
"SW-C1","1","10uF","","",""
"SW-C2","1","0.1uF","","",""
"SW-C3","1","100uF","","",""
"SW5","1","SW_SPDT","","",""
"SW6","1","SW_Push","","",""
"SW7","1","SW_RESET","","",""
"TANK-C4","1","0.47uF","","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8","8","TestPoint","","",""
"U1","1","ICM-42688-P","","",""
"U3","1","LT1763CS8-3.3_TRPBF","","",""
"VCORE-C16","1","0.47uF","","",""
"VDD-C17","1","0.1uF","","",""
"VSS-C18","1","10uF","","",""
"Y2","1","Crystal_GND24","","",""
